Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
528	46	78	82	82	92	115	48	112	134	108	74	67
529	57	95	80	99	69	119	63	85	112	98	92	72
530	31	80	77	110	104	110	64	87	90	90	65	54
531	46	87	83	86	89	104	52	98	88	85	77	70
532	44	104	87	105	72	118	64	90	94	84	65	43
533	47	82	101	107	91	111	65	95	104	113	76	74
534	72	119	76	117	100	105	60	98	118	119	84	73
535	61	200	115	140	91	101	66	121	166	144	92	76
536	65	239	158	135	94	113	59	146	167	182	77	75
537	43	95	90	95	85	114	67	91	108	116	70	69
538	50	68	109	98	77	111	56	72	93	103	74	75
539	45	91	91	88	90	104	47	110	115	113	46	70
540	42	91	107	94	105	91	55	83	123	154	74	66
541	39	124	108	127	82	100	71	114	129	126	61	62
542	52	103	114	110	88	124	63	113	121	134	66	64
543	52	130	97	102	71	75	49	88	108	112	63	68
544	39	92	91	118	93	104	55	86	98	119	56	56
545	55	114	101	74	63	101	73	104	111	97	46	61
546	53	128	86	99	75	99	60	97	142	112	71	54
547	44	99	99	111	79	111	56	89	102	109	70	60
548	58	101	111	98	94	92	72	83	135	102	63	57
549	43	154	115	105	70	88	65	105	141	130	90	92
550	70	291	172	119	94	102	71	139	217	169	113	82
551	58	184	108	103	82	99	59	96	138	119	78	62
552	60	181	130	104	91	99	52	122	147	128	83	78
553	51	152	133	121	79	91	56	133	177	131	72	62
554	65	203	155	107	90	102	52	142	206	177	80	78
555	95	288	201	156	85	99	73	157	281	221	87	58
556	85	287	212	128	76	123	76	161	264	176	88	67
557	65	329	174	134	94	104	70	147	228	162	110	68
558	89	586	200	151	108	86	72	226	334	249	106	91
559	88	531	213	152	83	117	71	180	337	265	112	84
560	55	262	137	116	104	112	74	141	211	164	86	64
561	60	340	131	116	85	94	67	124	182	176	78	70
562	92	1009	215	166	99	119	79	230	339	259	127	88
563	60	283	139	122	93	108	52	137	194	150	86	95
564	57	290	118	125	90	106	64	137	207	155	81	57
565	119	678	233	164	94	111	78	246	337	267	123	74
566	107	354	217	168	107	87	74	199	275	219	97	63
567	74	199	137	143	101	117	67	135	208	167	91	67
568	93	362	153	126	90	96	71	192	202	152	95	87
569	134	524	182	181	114	127	73	241	261	166	126	95
570	55	198	131	98	93	95	56	130	186	135	60	64
571	54	169	113	109	86	99	47	129	169	116	67	62
572	53	148	110	88	81	97	52	95	128	100	57	66
573	62	290	146	129	94	89	56	121	185	168	92	66
574	66	169	100	106	83	93	64	105	158	120	80	72
575	74	277	142	120	75	100	54	128	208	171	72	62
576	52	172	126	105	71	90	64	112	192	129	62	62
577	69	224	121	123	97	93	77	124	189	147	75	82
578	67	448	254	117	85	95	52	144	261	209	93	63
579	46	200	118	106	82	102	57	105	152	127	64	64
580	81	260	151	121	99	103	76	109	200	182	64	67
581	101	648	242	158	98	121	61	218	342	269	108	84
582	101	422	179	145	84	103	64	199	276	215	89	80
583	72	381	148	138	100	105	67	142	207	153	67	88
584	59	284	120	104	99	122	44	122	147	131	71	52
585	133	1658	284	198	131	144	97	289	450	291	171	96
586	71	242	136	123	97	86	79	138	183	163	63	83
587	71	463	143	140	87	135	68	157	238	143	108	62
588	116	644	219	165	110	100	94	237	279	183	139	82
589	113	334	185	134	110	120	80	195	251	156	131	76
590	95	304	188	169	111	105	78	206	246	166	122	96
591	121	454	216	163	96	105	121	201	317	212	120	90
592	120	559	212	183	121	113	80	267	339	246	142	93
593	61	246	149	126	112	100	56	129	231	131	95	80
594	74	370	152	135	107	108	68	163	203	132	96	83
595	46	104	89	88	76	112	37	103	150	116	62	48
596	41	149	94	104	75	111	57	99	169	110	58	54
597	34	95	106	81	72	79	64	84	129	116	64	61
598	33	90	115	96	80	87	58	84	127	121	64	59
599	42	94	117	107	82	82	77	113	219	144	78	67
600	0	0	0	0	0	0	0	0	0	0	0	0
